District;X;Y
Messenia;21.8958551234;37.1171930115
Arcadia;22.299167;37.565025
Laconia;22.6603511657;37.0457272851
Argolis;22.9256944674;37.6263261493
Corinthia;22.8106556551;37.9084399883
Achaia;21.779336047;38.2544102213
Elis;21.6883960595; 37.7476735676
