Cit‚s;X;Y
Athens;23.7239143561;37.9716372547
Megalopolis;22.1263961621;37.414271211
Pella;22.5182247655;40.7543596457
Salamis;23.4843388039;37.9426651222
Megara;23.340163;37.985078
Nemea;22.7106795365;37.8090585307
;;
Thebes;23.3176534333;38.3199488333
