Seas;X;Y
Adriatic Sea;16.4511294299;42.4700542144
Mediterranean Sea; 22.102334939848298;36.42808225628952
Ionian Sea; 21.199633766674214;37.38242663616024
Myrtoan Sea;23.20448149353059;37.12171170785077
